Rank,Title,Genre,Score
171,Shingeki no Kyojin: Kuinaki Sentaku,Action,8.41
172,Hunter x Hunter,"Action, Adventure, Fantasy",8.41
173,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Comedy,8.41
174,Gintama°: Aizome Kaori-hen,Comedy,8.4
175,Houseki no Kuni,"Action, Drama, Fantasy, Mystery",8.4
176,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),"Action, Mystery, Romance, Supernatural, Suspense",8.4
177,Natsume Yuujinchou Roku Specials,"Drama, Slice of Life, Supernatural",8.4
178,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"Drama, Fantasy",8.4
179,Tensei shitara Slime Datta Ken 2nd Season,"Action, Adventure, Comedy, Fantasy",8.39
180,Tian Guan Ci Fu,"Action, Adventure, Drama, Supernatural",8.39
181,3-gatsu no Lion,"Drama, Slice of Life",8.39
182,Chihayafuru 2,"Drama, Sports",8.39
183,Cross Game,"Drama, Romance, Sports",8.39
184,Kamisama Hajimemashita: Kako-hen,"Comedy, Fantasy, Romance",8.39
185,Kaze ga Tsuyoku Fuiteiru,"Drama, Sports",8.39
186,Barakamon,Slice of Life,8.38
187,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",8.38
188,Kimetsu no Yaiba: Mugen Ressha-hen,"Action, Fantasy",8.38
189,Non Non Biyori Nonstop,Slice of Life,8.38
190,Kizumonogatari I: Tekketsu-hen,"Action, Mystery, Supernatural",8.37
191,Made in Abyss Movie 2: Hourou Suru Tasogare,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",8.37
192,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Suspense",8.37
193,Mushoku Tensei: Isekai Ittara Honki Dasu,"Drama, Fantasy, Ecchi",8.37
194,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Comedy, Romance",8.37
195,Baccano!,"Action, Comedy, Mystery, Supernatural",8.37
196,Fumetsu no Anata e,"Adventure, Drama, Supernatural",8.37
197,Haikyuu!! To the Top,Sports,8.36
198,Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy",8.36
199,Kaze no Tani no Nausicaä,"Adventure, Award Winning, Fantasy",8.36
200,Mahou Shoujo Madoka★Magica,"Award Winning, Drama, Suspense",8.36
201,Usagi Drop,Slice of Life,8.36
202,Yoru ni Kakeru,Music,8.36
203,Bakuman. 2nd Season,"Comedy, Drama, Romance",8.35
204,Gintama: Shiroyasha Koutan,"Action, Comedy, Sci-Fi",8.35
205,Hellsing Ultimate,"Action, Horror, Supernatural",8.35
206,K-On! Movie,"Award Winning, Comedy",8.35
207,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Drama, Fantasy, Suspense",8.35
208,Kiseijuu: Sei no Kakuritsu,"Action, Horror, Sci-Fi",8.34
209,Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",8.34
210,Psycho-Pass,"Action, Sci-Fi, Suspense",8.34
211,Spy x Family Part 2,"Action, Comedy",8.34
212,Boku no Hero Academia 6th Season,Action,8.34
213,Bakemonogatari,"Mystery, Romance, Supernatural",8.33
214,Dr. Stone: Ryuusui,"Adventure, Comedy, Sci-Fi",8.33
215,Given,"Boys Love, Drama, Romance",8.33
216,Gotcha!,Fantasy,8.33
217,Kidou Senshi Gundam: The Origin,"Action, Sci-Fi",8.33
218,Kingdom 2nd Season,Action,8.33
219,Uchuu Senkan Yamato 2199,"Action, Drama, Sci-Fi",8.33
220,Versailles no Bara,"Drama, Romance",8.33
221,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Drama, Fantasy",8.33
222,Major S6,Sports,8.33
223,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Slice of Life, Supernatural",8.33
224,One Outs,Sports,8.33
225,Kobayashi-san Chi no Maid Dragon S,"Fantasy, Slice of Life",8.32
226,Natsume Yuujinchou Go Specials,"Drama, Slice of Life, Supernatural",8.32
227,Ookami to Koushinryou II,"Adventure, Fantasy, Romance",8.32
228,Romeo no Aoi Sora,"Adventure, Drama, Slice of Life",8.32
229,Tensei shitara Slime Datta Ken 2nd Season Part 2,"Action, Adventure, Comedy, Fantasy",8.32
230,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Supernatural",8.32
231,Initial D First Stage,"Action, Drama",8.32
232,Katanagatari,"Action, Adventure, Romance",8.32
233,Kawaki wo Ameku,"Animation, Action, Adventure, Drama, History",8.32
234,Kemono no Souja Erin,"Drama, Fantasy",8.32
235,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Supernatural",8.31
236,Boku dake ga Inai Machi,"Mystery, Supernatural, Suspense",8.31
237,Evangelion: 2.0 You Can (Not) Advance,"Action, Drama, Sci-Fi",8.31
238,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",8.31
239,IDOLiSH7 Third Beat! Part 2,Drama,8.31
240,Natsume Yuujinchou,"Drama, Slice of Life, Supernatural",8.31
241,NHK ni Youkoso!,"Comedy, Drama, Romance",8.31
242,Sakamichi no Apollon,"Drama, Romance",8.31
243,Shelter (Music),Sci-Fi,8.31
244,Kuroko no Basket 3rd Season,Sports,8.3
245,Tenki no Ko,"Award Winning, Drama, Fantasy, Romance",8.3
246,Blue Lock,Sports,8.3
247,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery",8.3
248,Diamond no Ace: Second Season,Sports,8.3
249,Hibike! Euphonium 2,Drama,8.3
250,Ashita no Joe,"Drama, Sports",8.29
